업종별(1),업종별(2),지역별(1),2016,2017,2018,2019,2020
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",경남,2965,2961,2817,3453,2937
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",제주,491,568,623,622,685
서비스업, 교육 서비스업,소계,35777,37514,41126,42864,39056
서비스업, 교육 서비스업,서울,7148,7473,8001,8256,7412
서비스업, 교육 서비스업,부산,2090,2064,2414,2502,2260
서비스업, 교육 서비스업,대구,1858,1962,1983,2039,1831
서비스업, 교육 서비스업,인천,1945,2094,2291,2309,2005
서비스업, 교육 서비스업,광주,1176,1230,1225,1289,1125
서비스업, 교육 서비스업,대전,1146,1155,1172,1241,1127
서비스업, 교육 서비스업,울산,822,876,883,927,935
서비스업, 교육 서비스업,세종,482,632,692,689,540
서비스업, 교육 서비스업,경기,9869,10373,12232,12666,11219
서비스업, 교육 서비스업,강원,947,956,887,1031,990
서비스업, 교육 서비스업,충북,848,837,950,1058,1125
서비스업, 교육 서비스업,충남,1182,1350,1426,1448,1331
서비스업, 교육 서비스업,전북,1186,1059,1212,1193,1182
서비스업, 교육 서비스업,전남,1038,964,1007,1077,1013
서비스업, 교육 서비스업,경북,1316,1480,1700,1670,1658
서비스업, 교육 서비스업,경남,2248,2502,2507,2780,2593
서비스업, 교육 서비스업,제주,476,507,544,689,710
서비스업, 보건업 및 사회복지 서비스업,소계,7166,6676,6184,5527,4939
서비스업, 보건업 및 사회복지 서비스업,서울,1816,1635,1539,1461,1399
서비스업, 보건업 및 사회복지 서비스업,부산,459,475,439,377,306
서비스업, 보건업 및 사회복지 서비스업,대구,328,300,275,227,221
서비스업, 보건업 및 사회복지 서비스업,인천,344,325,294,302,250
서비스업, 보건업 및 사회복지 서비스업,광주,287,251,225,207,159
서비스업, 보건업 및 사회복지 서비스업,대전,226,195,177,160,124
서비스업, 보건업 및 사회복지 서비스업,울산,128,88,89,77,68
서비스업, 보건업 및 사회복지 서비스업,세종,56,81,51,43,43
서비스업, 보건업 및 사회복지 서비스업,경기,1785,1656,1539,1402,1353
서비스업, 보건업 및 사회복지 서비스업,강원,154,151,133,121,117
서비스업, 보건업 및 사회복지 서비스업,충북,193,176,179,140,120
서비스업, 보건업 및 사회복지 서비스업,충남,249,261,231,194,134
서비스업, 보건업 및 사회복지 서비스업,전북,206,198,203,156,123
서비스업, 보건업 및 사회복지 서비스업,전남,215,199,193,157,127
서비스업, 보건업 및 사회복지 서비스업,경북,237,233,212,196,129
서비스업, 보건업 및 사회복지 서비스업,경남,383,354,311,232,220
서비스업, 보건업 및 사회복지 서비스업,제주,100,98,94,75,46
서비스업," 예술, 스포츠 및 여가관련 서비스업",소계,35328,36516,32757,31139,27904
서비스업," 예술, 스포츠 및 여가관련 서비스업",서울,7545,7823,7329,7010,6075
서비스업," 예술, 스포츠 및 여가관련 서비스업",부산,1791,1845,1549,1496,1271
서비스업," 예술, 스포츠 및 여가관련 서비스업",대구,1557,1429,1255,1220,1041
서비스업," 예술, 스포츠 및 여가관련 서비스업",인천,2306,2182,2073,1934,1747
서비스업," 예술, 스포츠 및 여가관련 서비스업",광주,1068,1227,1021,1044,1111
서비스업," 예술, 스포츠 및 여가관련 서비스업",대전,1243,1215,1018,930,776
서비스업," 예술, 스포츠 및 여가관련 서비스업",울산,791,873,680,617,515
서비스업," 예술, 스포츠 및 여가관련 서비스업",세종,169,241,181,191,204
서비스업," 예술, 스포츠 및 여가관련 서비스업",경기,9091,9610,8687,8291,7479
서비스업," 예술, 스포츠 및 여가관련 서비스업",강원,1115,1208,1008,938,883
서비스업," 예술, 스포츠 및 여가관련 서비스업",충북,1188,1152,1057,1014,938
서비스업," 예술, 스포츠 및 여가관련 서비스업",충남,1376,1562,1337,1254,1218
서비스업," 예술, 스포츠 및 여가관련 서비스업",전북,1216,1192,1065,998,823
서비스업," 예술, 스포츠 및 여가관련 서비스업",전남,986,1007,895,923,901
서비스업," 예술, 스포츠 및 여가관련 서비스업",경북,1538,1553,1329,1263,1098
서비스업," 예술, 스포츠 및 여가관련 서비스업",경남,1908,1893,1698,1559,1360
서비스업," 예술, 스포츠 및 여가관련 서비스업",제주,440,504,575,457,464
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",소계,52042,52659,55083,56636,53962
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",서울,9724,9277,9926,9999,9006
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",부산,3453,3480,3387,3574,3370
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",대구,2416,2521,2703,2760,2585
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",인천,3271,3383,3443,3509,3350
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",광주,1760,1819,1992,2127,1856
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",대전,1804,1652,1815,1911,1709
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",울산,1166,1185,1252,1271,1173
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",세종,247,294,381,345,350
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",경기,13645,13709,14312,15183,14725
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",강원,1549,1496,1548,1660,1590
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",충북,1584,1638,1683,1670,1626
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",충남,1999,2159,2356,2317,2306
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",전북,1681,1844,1909,1877,1883
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",전남,1547,1761,1777,1808,1930
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",경북,2352,2324,2529,2497,2414
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",경남,3185,3421,3375,3375,3361
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",제주,659,696,695,753,728
